Country Name,Year,GDP,Inflation,Unemployment,LifeExp,Education
Armenia,2021,5.80000000065645,7.1848362944337,15.469,72.2780487804878,56.6235144830279
Australia,2021,2.00694844335034,2.86391284709318,5.022,83.3,112.688293457031
Austria,2021,4.92309171717903,2.7666666666667,6.459,81.190243902439,93.940071105957
Azerbaijan,2021,5.61644027150554,6.65029912708778,6.04,70.999,39.0095977224788
Belgium,2021,6.25445686466593,2.44024851144084,6.248,81.790243902439,82.6882019042969
Benin,2021,7.1554516457574,1.73353962694035,1.833,59.61,9.82796955108643
Burkina Faso,2021,6.94252492572348,3.65326761825508,4.511,60.046,9.30513098594236
Bangladesh,2021,6.93867912442445,5.54565430773473,5.457,71.103,23.9006822335243
Bulgaria,2021,7.82817232822165,3.29774435299506,5.166,71.2121951219512,85.3017501831055
Bahrain,2021,4.35004091668986,-0.60631938514085,1.548,78.083,47.5015525503536
Bosnia and Herzegovina,2021,7.39164256472846,1.98163900587622,14.897,74.567,45.0589485168457
Belarus,2021,2.43886210234947,9.46028389623105,3.9,72.0714634146342,78.6027133367864
Belize,2021,17.9899244143607,3.2356365923707,10.302,70.917,23.6813942822198
Brazil,2021,4.7626043797061,8.30165975585673,13.158,73.038,57.6311988830566
Brunei Darussalam,2021,-1.59076260099606,1.73341388450593,4.905,74.869,27.4258937503291
Bhutan,2021,4.42136738945015,7.3468144053353,4.803,72.448,14.7382447141292
Botswana,2021,11.9162724376008,7.24097765588442,23.106,63.303,21.2032904951187
Canada,2021,5.95052802804381,3.39519318527527,7.527,81.4514634146342,79.7657318115234
Switzerland,2021,5.55962020605844,0.581814168489855,5.013,83.7512195121951,71.893928527832
Chile,2021,11.3149204879049,4.52456838259143,9.281,78.876,96.2227935791016
China,2021,8.57008513166322,0.981015135544881,4.55,78.117,66.8186077597542
Cote d'Ivoire,2021,7.06332910205232,4.15919657911797,2.623,60.29,10.7725833415282
Cameroon,2021,3.33885747179505,2.27185762503637,3.976,61.146,17.1581831920239
Colombia,2021,10.8011981904878,3.49505757399448,13.898,72.698,58.3159217834473
Cyprus,2021,11.3975590801512,2.44608867175474,7.513,80.573,106.362930297852
Czechia,2021,4.02901832055149,3.83984491500146,2.803,77.2219512195122,69.8369293212891
Germany,2021,3.90999994204108,3.06666666666673,3.594,80.790243902439,75.6655426025391
Denmark,2021,6.50025445756295,1.85304543989689,5.065,81.4048780487805,83.982292175293
Dominican Republic,2021,14.0124289062207,8.24300347981809,7.702,71.757,56.4690832383051
Algeria,2021,3.79999999900707,7.22606307415477,13.656,75.208,54.2222597146723
"Egypt, Arab Rep.",2021,3.29064601202211,5.21404940513042,7.441,68.976,35.1185317783157
Spain,2021,6.68314420473001,3.09313511976419,14.914,83.1780487804878,95.3768997192383
Estonia,2021,8.25488044580031,4.65316673847472,6.178,76.9439024390244,73.1502075195312
Finland,2021,2.67634641498897,2.19457432340007,7.617,81.8853658536585,100.868072509766
Fiji,2021,-4.3459619989752,1.53454853751591,5.225,64.904,76.7030156165859
France,2021,6.88233783360239,1.64233141038393,7.871,82.3243902439024,69.9397888183594
United Kingdom,2021,8.5431118453255,2.51837109614213,4.864,80.6473170731707,76.7543563842773
Georgia,2021,10.6442336580969,9.56691433824769,11.785,71.635,77.2303110681266
Ghana,2021,5.07646643533542,9.9710886750444,3.2,64.286,19.2005186528071
Greece,2021,8.65449786002131,1.22382501019854,14.656,80.0829268292683,150.605484008789
"Hong Kong SAR, China",2021,6.45444409087024,1.56875834445922,5.174,85.5326829268293,97.3813269493844
Croatia,2021,12.6322190351024,2.55450699642041,7.483,76.4243902439025,78.0067901611328
Hungary,2021,7.22291580811137,5.11096534382855,4.021,74.0658536585366,58.6536102294922
Indonesia,2021,3.70288562827751,1.56007882983334,3.827,67.452,40.6293239880732
India,2021,9.68959249192875,5.13140747176369,6.38,67.282,31.5741765984501
Ireland,2021,16.2581881158197,2.34034113447044,6.357,82.2536585365854,78.4613265991211
